Yorum,Duygu
Arkadaþlar  bu ürünü hem asus hem de uygun fiyatlý olarak þaþýrarak almýþtýk kuzenimle birlikte 2 adet aldýk  Fakat fiyatýnýn neden uygun olduðu belli  Yorum yapan diðer arkadaþlar teknik konulardan anlamýyor muhtemelen  Ýçerisindeki ssd okadar kötü ki  m2 ssd var denilsin diye konulmuþ çünkü okuma yazma hýzý 1000mb/s lerde  Fanlar evet sessiz  ekran kartý unreal engine de 88dereceye çýkýyor ve drop baþlýyor  Asus nasýl böyle kötü bir laptop çýkarttý aklým almýyor  Ayrýca bilgisayar uyku moduna geçince tekrar baþlamýyor  Kronik sorun olabilir  bu yazdýklarým satýnaldýðýmýz her iki laptop için de mevcut  Son olarak klavyesi ve ekraný güzel ancak alýyorsanýz bunlarý gözönünde bulundurun ,0
1  Sadece Windows 11 için sürücüler 2  Bilgisayar sol alttan çok ýsýnýyor 3  Bilgisayar çok gürültülü  Fan gürültü yapýyor Bir daha böyle bir tane almayacaðým ,0
29 12 2022 de sipariþ verdiðim Dell marka Ýnspiron 3511 model bilgisayar 03 01 2023 tarihinde elime ulaþtý  Kutudan çýkarýp çalýþtýrdýðýmda Hard Drive - Not instaled hata ekraný çýktý  Çalýþmýyor  ,0
çok iyi ürün  tam fiyat performans,1
fýyat performans gayet basarýlý  sadece kurulum sýrasýnda zorlandýk ,1
Sürekli oyun oynayan ve mühendislik programlarý kullanan birisi olarak alabileceðim en f p bilgisayarý buldum diyebilirim  Ekran kartý ve iþlemcisi inanýlmaz derecede ve kusursuz klavyenin ýþýklý olmasý benim için en önemli detaylardan bir tanesi CS Go Valorant COD Serisi GTA5 hiç zorlanmadan oynayabiliyorum  Soðutma sistemi inanýlmaz derece iyi çalýþýyor  DSLL3 ve RTX40 olmasý ile sorun yaþamadan her oyunu ve programý kullanabilirsiniz  Ömürlük bilgisayar  Tek dezavantajý 8 gb ram olmasý fakat kendim ekstra ram taktýrdým þu anda uçaktan farký yok  Kesinlikle tavsiye ederim ,1
Abi bu fiyata kaçýrmayýn hem soðutma hem kalite hem de oyun açýdýndan süper cihaz sabahtan beri oyun oynuyorum açamadý ðý oyun yok bide de buna ram taktým 16 gb ram oldu uçuyo bilgiðin þrfsizim kaçrmayýn kral ,1
Fiyatýnýn hakkýný sonuna kadar veren bir laptop  Bu piyasada alýnabilecek en iyi laptop ve Tabiki MSI kalitesi  Üründe tek eksik 8Ram olmasý 8Ram ile bile Cs Go Asseto Corsa Ets GTA5 Rdr2 Cod  BeamNg  Forza4  Forza5 gibi oyunlarý hiç zorlanmadan açýyor  Bu konuda DSLL3 ve RTX4050 çok güzel iþ çýkartýyor  Kýsacasý fiyatýnýn hakkýný MSI kalitesi ve güveniiyle sonuna kadar veriyor ,1
Asla tavsiye etmiyorum görsellerden ýsýsýna bakabilirsiniz Pc alev atýyor düz masaüstünde dururken bile 63 derecelere çýkýyor  Aðýr ýsýnma sorunu var ve kasýyor ,0
Ürün FREE dos geliyor sorun burada baþlýyor usb ile yarattýðýnýz windows gpt olduðu için sistem tanýmýyor kuarlen hata veriyor Ýnternete gpt hatasý yazýn çözümü var ama Ýnternet sitesindeki telefonlara cevap vermiyorlar yardým edecek kimse yok kýsacasý bþraþ uðraþtýrýyor  Ramin 8 GB olmasý hayal kýrýklýðý,0
pc 5 gündür kullanýyom kapagý açýp ram taktýgým için iade etmekle ugraþmicam arkadaþlar ufoya ihtiyacýnýz varsa alabilirsiniz,0
Malesef bir haftan aþkýn süredir faturaya TC numarasý eklemek için her gün iletiþime geçiyorum ancak bir Robot mesajý ile karþýlaþýyorum  Hepsiburada büyük hayal kýrýklýðý yaþattý ,0
Ürünü hiç beðenmedim inanýlmaz bir ýsýnma ve kasma sorunu var  RTX 4050 makinada nasýl böyle oluyor inanýlýr gibi deðil  Ýade etme hakkým varsa bu hakkýmý kullanmak istiyorum  Ürün daha bugün elime geçti ,0
Ürünü ben aldýktan sonra dolarýn çýkmasýna raðmen indirim yaptýnýz ürünü iade etmek için uðraþmadým ürün gayet güzel fakat satýcý olarak sizi tavsiye etmiyorum RAM yükseltmesi yapardým o paraya,0
Ürün açýlýþta güncelleme ekranýnda takýlý kaldý ve hiçbir tepki vermiyor!,0
Ürünü aldýktan sonra kafalarýna göre zam-indirim yapýyorlar!,0
Mükemmel bir cihaz huawei matebook d15 kullanýyordum bu bambaþka birþey aþýrý premium hissettiriyor þiddetle tavsiye ederim   ,1
Paketleme çok güzel henuz acamadim kullanmaya baslayinca tekrar yazicam,1
Harika bir bilgisayar  üretim kalitesi enfes  Ýslemci performanslý tam bir ev ofis bilgisayarý  Hafif oyunculuk icin de uygun ,1
Ürünün Ýþlemcisi hýzlý  Ses kalitesi þuana kadar bir laptop'da gördüðüm en iyi ses kalite ve seviyesinde  Ama özellikle ekran kalitesi muhteþem  Kasanýn iþçiliði ve malzemesi güzel  Tavsiye ederim ,1
Ürün Anlatildigi gibi Çok iyi valoranta full ayarlarda 160+FPS veriyor lakin kargo ayrý bir kutuyadaha konulsa daha saðlýklý olur ,1
"Þu ekonomik þartlarda RTX teknolojisi olan ve intel 11  nesil iþlemciye sahip tam bir f/p ürünü  1 günde sorunsuz bir þekilde teslim aldým  Satýcý arkadaþlara teþekkür ederim  Win11 kurulu geliyor bu iþlerden anlamayanlar içinde büyük kolaylýk  Tek eksisi 8gb ram ama onunda çözümü çok basit  Kýsaca, þiddetle tavsiye ediyorum",1
"Ekraný Çok HD   Hýzlý   Kargo Geç Verildi  ürünü aldým Bana teslim olduðu gün fiyatý%10 Düþtü Bu Fiyatlara Bedava Netflix de de iþ görür Borsa için de ideal HDM ile tv de baðlarým ACER KALÝTESÝ TAÝWAN Ürünü 1TB SSD Sipariþ verdim Garantisi Bozulmasýn Diye Acer Yetkili Servisine Takdýracam Hafýza Sorunum Olmaz Freedos Geliyor Windows 10 Yüklenmesi Tavsiyem Windows 11 Hatalý   Windows 10 Orijinal Lisans Microsoft'u Arayarak 3 600 TL Elde Edebilirsiniz Kul Hakký Yemeden Kullanýrsýnýz ,)))",1
Ofis iþlerimiz için fazlasýyla yeterli oldu,1
Kasa malzemesi metal diye okumuþtum metal deðilmiþ ama yinede cihaz çok hoþ daha önce laptop kullanmamýþ olanlar için fanlarýn sesi yüksek gelebilir ve cihaz isinabilir korkmayýn bu kadar güçlü bir bilgisayarý bu kadar küçük bir forma sýðdýran mühendisler soðumasýnýda hallediyor ben þuan çok memnunum ,1
Ürünün yanýnda 16 GB USB içinde gerekli sistem gereksinimleri var  Windows 11 indirip yükledim tek tek ne yapýlmasý gerektiði pdf dosyasýnda anlatýlmýþ  Eksileri çok ýsýndý ekran açýnca sanki hava çýkýþ yeri engelleniyor gibi geldi altýna fan motorlu sehpa ile destekledim çok iyi oldu bence þart ,1
Cihaz fiyat performans ürünü  Çok fazla araþtýrýp aldýðým bir ürün  Fan sesi çok fazla  Soðutmasý iyi  Bütün yüksek kalite oyunlarý yükledim oynadým herhangi bir kasma  donma sorun olmadý  Batarya olarak daha iyi olabilirdi  Satýcý sorularýma hýzlý cevap verdi ama kargoyu 15 gün bekledim  Sipariþi iptal edip tekrar aldým 1 gün sonra kargo yapýldý ,1
Yaklaþýk 2 aydýr kullanýyorum  Performans olarak oldukça iyi  Isýnma gayet normal ve makul  SSD 1 TB olmasý da oldukça avantajlý  Görüntü kalitesini oyun ve filmlerde hissediyorsunuz  Ofis iþlemleri ve oyun maksadýyla aldým çok memnunum  Ýþletim sistemi kurulu gelmiyor  Kutu içinde driverlarýn olduðu flash bellek var  Kasa aðýrlýðý  sade ve þýk dizayný tatminkar  Tavsiye ederim  Kargo çok kýsa sürede geldi  ambalaj içinde saðlam paketleme yapýlmýþ  Kendi kutusu da oldukça saðlam  Teþekkürler,1
Ürüne diyecek laf yok tek kelime mükemmel,1
Ürün harika  paketlemesinden tutun herþeyi mükemmel tam bir fiyat performans ürünü  fan sesi birazcýk fazla geliyor ama bu doðal bence  rahatlýkla alabilirsiniz :),1
Ürün cok güzel gercekten bu fýyata kaçýrmayýn ama eger aile evýdeysenýz masa ustu daha iyi bilginiz olsun cok oyun oynayan býrý degýlsenýz bu idaldir ýsýnma konusunda dogrudur ýsýnýyo baya fan açabýlýyosunuz fn 1 le iþ goruyo bence bu fýyatý kaçýrmayýp alýn derým,1
Tablet olarak kullanýlacak bir notebook  Neden bilmem benim sürekli kamerasý bozuluyor görüntüyü bozuyýr harici kamera aldým onda da problem devam ediyor  Ýþlemcisi zaten düþük program yükleyecekseniz kullanamazsýnýz  Film izleme word powerpoint kullanma vs için ideal  Uzun süreli görüntülü görüþmeler için yine deðik,0
Kesinlikle tavsiye etmiyorum  Bu kadar olumlu yorum yazan arkadaþlara bakarak cihazý almaya karar verdim ancak deðil günlük office vb iþler için  Dijital Çerçeve olarak bile kullanýlmaz  Ýþlemci dýþýndaki donanýmlarýna lafým yok ancak iþlemciyi bu kadar kötü beklemiyordum  Boþtayken bile iþlemci kullanýmý 60% 50% lerde mause u hareket ettirince bile iþlemci kullanýmý 100% lere çýkýyor  çok fazla ýsýnýyor ,0
Ürün f/p ürünü diyorlar ama ekraný çok kötü ben hiç beðenmedim  bide kýrýk geldi  iade ettim   Almak isteyenler iyi düþünsün   Fiyatý belli netice çokta biþey beklememek lazým   Ýmkaný olan biraz üstüne koyup farklý model alsýn,0
ÜRÜN BEÞ PARA ETMEZ   Ürün bana gelmeden önce sanýrým açýlmýþ  Ýade etmek istediðimde köpük yok diye kabul edilmedi  Bana gönderilen üründe köpük yoktu ki,0
Ürün açýklamalarýndaki bilgi aksine kurulum yapýlmadan gönderildi ve iade alýndý  ürünle beraber aldýðým MS 365 i iade alýnmýyor,0
Cihaz güzel ancak iþlemci cok kotu ayni anda zoom ve web de bir sayfa acinca donmaya baþlýyor 2 program çalýþtýr miyor,0
iþlemci yüklenemiyor sürekli hata veriyor,0
Gayet iyi,1
Bunun yerine hesap makinasý falan alýn daha verimli olur sizin için ,0
bir laptop neden kullanýma hazýr gelmez ki  Sonrasýnda servis  ikinci bilgisayara ihtiyaç duyuyorsam neden aldým o zaman internetten  Çok saçma  madem yazýn ürün açýklmasýna teknik destek almanýz gerekir diye,0
Bu güzel yorumlarýn altýna kötü biryorum yazmak istemezdim ama laptop kurulumu olmadan geldi  Keþke biraz daha fiyatý pahalý olsada kurulumu olsaydý ,0
Tablet bozmasý iade ettim,0
Aldýktan sonra bilgisayara format atmak için Windows kurmaya çalýþtým olmadý bilgisayarcý ya gönderdim oda yapamadi ve iade etmemi arýzalý olduðunu söyledi  Hiç Windows kurulmuyor zaten  En kýsa zamanda iade alýnmasýný ve paranýzin iadesini bekliyoruz ,0
Ýlk ürün arýzalý geldi iade ettim ikincisi geldiðinde çalýþýyordu çok da iyiydi özellikler ekran kalitesi eþsizdi fakat 1 hafta dolmadan ekranda çizgiler oluþtu titremeler baþladý ürünü iade etmek zorunda kaldým keþke sorun çýkmasaydý da kullanmaya devam etseydim ekrandaki sorunu çözerler ise bulunmaz bir ekran kalitesi var hepsi burada sonuna kadar malýnýn arkasýnda duruyor özellikle teþekkür ediyorum çok yardýmcý oldular þansýnýza ürün saðlam çýkarsa çok keyifli bir bilgisayar ,0
Ekim ayýnda almýþtým deðerlendirme yapmayý unutmuþum ürünü aldýðýmda bir sorun yok gibi duruyordu sonra renk bozulmalarý uygulamalarda titreme ekranda bozulma vs olmaya baþladý 1 kere servise yolladým geri döndü ama sonra tekrar hatalar devam etti ben tekrar servise iade talebiyle yolladým rapor verilip iade edildi bir daha Asus almam ayrýca þarji çok kötü aðýrlýk bir tarafa verildiði için cabuk kýrýlýyor tercih etmem bundan sonraki bilgisayarým MSI güzel çalýþýyor bakalým,0
3  ayýnda ekran bozuldu  1 aydýr arada çizgiler çýkýyordu video izlerken  Bugün itibariyle hiç çalýþmýyor  Geldiðinde tuþunda çizik vardý nasýl bi sýfýr üründü bilmiyorum  Ama acil ihtiyacýmýz olduðu için uðraþamadýk iade deðiþim süreciyle  Zaten saçma bir deðiþim ve iade süreci belirttiler aldýðým sýfýr üründe çizik çýkmasý normalmiþ gibi    ALMAYIN !!!,0
Arkadaþlar oled ekranlý bu laptoptan uzak durun  Ürünü aldýðýmýz 2 inci günü burning problemi yaþadýk Servise iki kere götürdük adamlar test ediyor bir sýkýntý yok diyor baþka test açýyým dedim yok biz o testi kabul etmiyoruz diyor þaka gibi ekranýn ortasýndaki kare ve alttaki çizginin normal olduðunu söylüyorlar Müþteri hizmetleride çözüm bulmuyor  Yani siz siz olun uzun süre kullanacaðýnýz bir laptop alacaksanýz bu laptopu yarý fiyatýna verseler almayýn ,0
Ürünü aldýktan 3 hafta sonra ekranda problem yaþadým bir kez servise gitti daha sonra yine ekranda titreme olmaya baþladý iade ettim Ayrýca klavyesi renk seçiminden dolayý gözükmüyor Kesinlikle tavsiye etmiyorum ,0
BOZUK ÜRÜN GÖNDERMÝÞLER RESSSMEN!!! TEÞHÝR ÜRÜNÜ MÜDÜR NEDÝR BELLÝ DEÐÝL  EKRANI BOZUK! ESKÝ ZAMAN TELEVÝZYONLARI GÝBÝ SÝYAH SARI ÇÝZGÝLER YUKARDAN AÞAÐI ÝNÝP DURUYOR ARA ARA  VE EKRANDAKÝ YAZILAR TÝTRÝYO BÝRBÝRÝNÝN ÝÇÝNE GEÇÝYO VS VS  OYSAKÝ ÇOK BEÐENEREK HEVESLE ALMIÞTIM!!! ,0
Ekranda durduk yere kararmalar oluyor  Servis bile çözmedi,0
Ekranda durduk yere kararmalar oluyor  Servis bile çözmedi,1
ürünü bir buçuk aydýr kullanýyorum þarj aleti takýlýyken bilgisayarý kullanamýyorsunuz aþýrý fan sesi geliyor ýsýnýyor kesinlikle tavsiye etmiyorum sakýn almayýn,1
sýfýr ürün alýyorsunuz kurulum için ssd yüklenmesi lazým hata veriyor 5 kere teknik destek alýyorsunuz onlarýn yönlendirdiði ssd kurulumu intel  cihazýn icinde micron ssd var bunu söylüyoruz cihazýn içinde ne ssd olduðu önemli deðil deniyor o zaman neden içindeki ssdnin kurulumunu saðlayacak driver ý vermiyorsunuz akýllara cihazýn kullanýlmýþ olduðu veya ssd nin deðiþtirilmiþ olduðu geliyor  cihazýn teknik servise gönderilmesi isteniyor deðiþim veya iade için bide bunu bekleyeceðiz ,1
Laptop oyun harici her þey için çok iyi de keþke pili bozuk gelmeseydi  teknik servisle uðraþmasaydýk alýr almaz ,1
Ürünü aldým  memnun kalmayýp iade edeyim dedim  bir haftayý geçti ama hala iade talebim sonuçlanmadý  Alacaklar iyi düþünsün ,1
Pil ömrü çok kýsa sürede bitiyor  Sadece ekran kalitesi iyi,1
Ürün berbat  Böylr bir hatalý tasarým olamaz  Ýþlemcisinden ekran kartýna bütün donanýmý çöp  Soðutma desen vasat  Kaç defa bilgisayar fazla ýsýnmadan kendini kapattý  Çok basit bir oyun da oynasan aþýrý ýsýnýyor  Hatta size bir haberim daha var  Boþta bile takýlsan youtubeda da gezsen yanýyor bilgisayar  Oyunlar donuyor  Güya oyun bilgisayarý  Buna verilen parayý çöpe atarsýnýz bilginiz olsun  Git intel nvidia al 50-60 fps düþükte oyna ama oynayabil oyunu daha iyi ,0
Oyun performansý vasat  Öncelikle pc yi aldýðým 1 hafta doðru düzgün bakamadým sonra ki hafta bakabildim  Cs go gibi bir oyunda ölüm maçýnda 120 fps civarý alýyordu orta ayarlarda   Acayip þaþýrdým çünkü benim eski llaptopum 1050 ti ve 7700 hq iþlemciyle bile 100 fps alýyordu  Bütün driverlarý güncelledim  Fps ortalama 150 lere çýktý ama sorun þu ki bi 200 e çýkýyor bi 100 e düþüyor  Bir oyun 170 alýyorsun ortalama bi oyun 100 den yukarý gitmiyor arkada bir uygulamada yok   Kendi sitesinden donaným testi vs 40 dakikalýk test bile yaptýrdým sýkýntý çýkmýyor  Yani PC de stabil bi deðer yok hep droplu fps var  Valorant ta 170 180 fps ortalamasý var  Aslýnda onu çok oynamadým  Maalesefki durum böyle eðer pc yi direkt oyun odaklý alacaksanýz ve Cs go oynayacaksanýz bende vasat bir performansý var  Dell yetkili servisini arayýp garantiye göndereceðim  Aþaðýya da kendi AMD radeon yazýllýmýnýn oyunlardaki sunmuþ olduðu ortalama fps deðerlerini ekledim Son olarak belki de benim pc sorunludur ama dediðim gibi dell in sitesinden her türlü testi vs yaptýrýyorum bi sýkýntý çýkmýyor  Win 11 den kaynaklýdýr diyeceðim veya yarýn birgün güncelleme gelir çok daha yüksek fps alýrýz bilemiyorum ama pc geldiðinde de driver vs hiçbiri güncel gelmiyor  Ayrýca son driverýna güncelleseniz bile bazýlarý eski driverlarýn daha yüksek performans vs verdiðini söylüyor orasý da ayrý bir saçmalýk  Yani pc yi aldýðým 1 hafta driverlarýn performansýyla uðraþmaktan pc teknisyeni gibi oluyorsunuz zaten  Maalesef iade süreci de geçtiði için elimizde kaldý gibi oldu,0
Ürünü iade etmek zorunda kaldým  ekranda ýþýk sýzmasý mevcut idi satýcý hiçbir konuda zorluk çýkamadý ve iade aldý  kendisine de teþekkür ediyorum  cihazýn malesef diyanz sorunlarý var hava giriþi ve hava çýkýþý 2 adet  ve hava çýkýþý ekranýn alt kýsmýna çarpýyor bu sebepten hýzlý bir tahliye olmuyor ýsýsýný dýþarýya atamadýðý için de klavye üstü power buton kýsmý resmen yanýyor  ilk geliþ hali ile 92 derece sýcaklýðý gördüm iþlemci de  bunu bir çok yöntem deneyerek 80 90 arasýna sabitledim ama hava tahliyesi sorunu sebebiyle iþlemci sýcaklýðýný düþersek bile bilgisayar yanýyor   Yaptýðým yöntemler þu þekilde Ýlk önce Windows update ile tüm sürücü vesaire güncellemesini yaptým Ýkinci olarak my dell üzerinden tüm bios vesaire güncellemeleri yaptýrdým Son olarak amd driver remover ile ekran kartýna dair tüm sürücüleri kaldýrdým AMD nin auto driver bulma ve kurma programý ile en güncel ekran kartý driver kurdum Herhangi bir oyuna girmeden beþ dakika max fan hýzýnda f7 g modu ile pc i notebook soðutucu eþliðinde soðuttum Sonrasýnda crysis gibi aðýr sistem isteyen oyunlarda denedim oyunlar da neredeyse sýfýr a yakýn fps drop oldu ama ýsýnma konusunda hava tahliye sorunu sebebiyle bu pc yi soðutmanýn yöntemi malesef olamaz '( buda ileride donanýma zarar verir endiþesi oluþturuyor ki dell g5 ryzen 5 5600h modeli bunun üst model ve kasa hali o kasadan dell in de nasýl ders aldýðýný bizzat görebilirsiniz   ,0
Arkadaþlar kesinlikle almayýn  Çok fazla ýsýnýyor  Alýrsanýz kesinlikle piþman olacaksýnýz ,0
Cihazý ilk aldýðým günden beri sürekli donma yapýyor üzerinden altý ay geçtikten sonra hiç açýlmamaya baþladý kesinlikle tavsiye etmiyorum Allah’tan garantiden dilin iletiþim bilgilerine ulaþýp bakýma gönderdim daha gelmedi beklemedeyiz,0
Aldýðýmýz günden bir gün yüzü görmedik her donanýmý dörtdörtlük olmasýna raðmen bilgisayar burçmu düzgün çalýþmýyor aþýrý ýsýnma problemi var kimseye tavsiye etmiyorum ,0
