SINIF,YORUM
Flood,MODOT reported Route A was closed west of Couch due to flooding.
Flood,Officials reported 2 feet of water over Highway 160 east of Alton west of Route CC.
Flood,MODOT reported Route K was impassable due to flooding.
Flood,MODOT reported that I-49 south bound was closed due to flooding between Highway 126 and the Jasper and Barton County border.
Coastal Flood,SGSM2 reported levels of 3.5 being reached
Winter Weather,Between 2 and 5 inches of snow were reported over the 12 hour period.
Winter Weather,Between 2 and 5 inches of snow were reported over the 12 hour period.
Winter Weather,Between 2 and 5 inches of snow were reported over the 12 hour period.
Lake-Effect Snow,
Winter Storm,Snow began early Saturday morning
Winter Storm,Snow began early Saturday morning
High Wind,
Heavy Rain,Heavy rain fell from thunderstorms.
Excessive Heat,Temperatures reaching daytime highs in the mid to upper 90s after a period of cool weather were accompanied by humid conditions
Excessive Heat,Temperatures reaching daytime highs in the mid to upper 90s after a period of cool weather were accompanied by humid conditions
Ice Storm,Trained spotters reported between 0.2 and 0.4 inches of ice around the county.
Flash Flood,Roads impassable due to flooding.
Tornado,A brief tornado damaged a small shed.
Lake-Effect Snow,
Heavy Rain,A CO-OP observer measured a 24 hour rainfall total of 2.11 inches. Pea size hail was also reported.
Flash Flood,Dispatch relayed reports of flash flooding throughout Monticello
Hail,
Hail,
Hail,
Ice Storm,Trained spotters reported between 0.2 and 0.4 inches of ice around the county.
Ice Storm,Trained spotters reported between 0.2 and 0.4 inches of ice around the county.
Thunderstorm Wind,Several trees uprooted and power lines downed near the intersection of Rex Lane Road and Bailey Road.
Winter Storm,Snow began during the late afternoon hours on Friday
Flash Flood,Heavy rainfall over the Solimar burn scar resulted in a significant mud and debris flow. The southbound lanes of Highway 101 were closed due to water and debris across the roadway.
Flash Flood,Heavy rainfall over the Colby burn scar resulted in a significant mud and debris flow. On Rainbow Drive
Flash Flood,Heavy rainfall over the Calgrove burn scar generated a significant mud and debris flow. Mud and debris closed a mobile home park near the burn scar.
High Wind,A wind gust of 59 mph was reported just east of Columbus.
High Wind,A wind gust of 59 mph was reported just west of Harlowton.
High Wind,Northwest winds reach sustained speeds of 30 to 40 mph. A gusts to 59 mph was measured at Brandon.
Winter Weather,Snowfall of 1 to 4 inches combined with southeast winds gusting around 30 mph at times to produce areas of blowing snow
Thunderstorm Wind,Trees down at 2127 Highway 516 in the Fryeburg community near the Webster/Bienville Parish line.
Thunderstorm Wind,Trees down at 2400 Atkins Clark Road near the Elm Grove community.
Thunderstorm Wind,Numerous large limbs were downed by high winds along Highway 154 east of Elm Grove just west of the Lake Bistineau Dam in Southern Bossier Parish.
Hail,
Winter Storm,Snowfall/sleet amounts of 5 to 7 inches fell across the county.
Winter Storm,Snowfall/sleet amounts of 1 to 3 inches fell across the county. In addition
Winter Storm,One quarter of an inch of freezing rain accrual was reported across the county.
Flood,The White River at Newport remained above flood stage from December
Winter Weather,Snowfall amounts of up to an inch were observed across the county. Some light freezing rain was also observed.
Winter Weather,Snowfall amounts of up to an inch were observed across the county.
Winter Weather,Snowfall amounts of up to an inch were observed across the county.
Thunderstorm Wind,A tree was blown down at Doomar Dr and Miccosukee Road.
Excessive Heat,Temperatures reaching daytime highs of 95 to 100 after a period of cool weather were accompanied by humid conditions
Excessive Heat,"Strong high pressure developed across south central Arizona, including the greater Phoenix area, during the day on July 22nd leading to excessive heat over the lower deserts. The official high temperature at Phoenix reached to 112 degrees. The heat proved to be deadly, according to a report from local broadcast media a 12 year old boy was rushed to the hospital after losing consciousness from heat stroke or heat exhaustion during an afternoon hike. The boy had been hiking at the Apache Wash trailhead located about halfway between Deer Valley airport and Cave Creek. The boy later died. An Excessive Heat Warning had been in effect for the area since noon, continuing on and into the next day."
Dust Storm,Strong thunderstorms north of Phoenix generated strong gusty outflow winds over 40 mph and these winds pushed towards the southwest and overspread portions of the west central deserts during the afternoon hours on July 20th. The winds picked up significant amounts of dust and dirt and created a dust storm that moved across the Interstate 10 corridor
Hail,
Hail,
Hail,
High Wind,The WYDOT sensor at Interstate 80 mile post 353 measured sustained winds of 40 mph or higher.
High Wind,The WYDOT sensor at Vedauwoo measured sustained winds of 40 mph or higher.
High Wind,The WYDOT sensor at Wildcat Trail measured sustained winds of 40 mph or higher.
High Wind,The UPR sensor at Emkay measured sustained winds of 40 mph or higher.
Winter Weather,The Webber Springs SNOTEL site (elevation 9250 ft) estimated six inches of snow.
Winter Weather,The Blackhall Mountain SNOTEL site (elevation 9820 ft) estimated six inches of snow.
Winter Storm,The Divide Peak SNOTEL site (elevation 7850 ft) estimated 21 inches of snow.
High Wind,The WYDOT sensor at Otto Road measured sustained winds of 40 mph or higher.
High Wind,The WYDOT sensor at Whitaker measured sustained winds of 40 mph or higher.
High Wind,The WYDOT sensor at Wyoming Hill measured sustained winds of 40 mph or higher.
Winter Storm,The Battle Mountain SNOTEL site (elevation 7440 ft) estimated 17 inches of snow.
Thunderstorm Wind,Trees were blown down on Natural Bridge Road near Old Plank Road.
Thunderstorm Wind,Trees were blown down on W W Kelly Road.
Flood,The stream gauge on Otter Point Creek at Edgewood reached a flood stage of 8 feet. The gauge peaked at 9.67 feet at 00:15 EST. Winters Run Road began to flood near Singer Road.
Flash Flood,The stream gauge on Minebank Run at Glen Arm reached 10.2 feet at 19:10 EST.
Flood,The stream gauge on Little Patuxent River at Savage reached a flood stage of 10 feet. The gauge peaked at 10.56 feet at 22:45 EST. Riverside trails began to flood. Water also approached fields off Bald Eagle Drive
Thunderstorm Wind,Trees were blown down on Friendship Church Road.
Thunderstorm Wind,Trees were blown down on Persimmon Road.
Thunderstorm Wind,There were several reports of trees and power lines down throughout Jackson county.
Thunderstorm Wind,A roof was blown off a house with numerous trees and power lines down across Marianna.  Damage was estimated.
Thunderstorm Wind,A tree was blown across SR-65 near Sumatra.
Thunderstorm Wind,Multiple trees were blown down in Sumatra.
Thunderstorm Wind,A tree was blown down onto a house near Carrabelle.  Damage was estimated.
Thunderstorm Wind,Multiple trees were blown down in Sopchoppy.
Thunderstorm Wind,Multiple trees were blown down.
Excessive Heat,Temperatures reaching daytime highs in the mid to upper 90s after a period of cool weather were accompanied by humid conditions
Heavy Rain,Heavy rain fell from thunderstorms.
Heavy Rain,Heavy rain fell from thunderstorms.
Heavy Rain,Heavy rain fell from thunderstorms.
Flood,Minor street flooding occurred due to heavy rainfall with thunderstorms.
Excessive Heat,Temperatures reaching daytime highs in the mid to upper 90s after a period of cool weather were accompanied by humid conditions
Excessive Heat,Temperatures reaching daytime highs in the mid to upper 90s after a period of cool weather were accompanied by humid conditions
Heavy Rain,Two and a half to five inches of rain was reported at Torrington.
Flash Flood,Flash flooding was reported in and around Torrington.  Torrington Fire/EMS rescued people trapped inside a city park restroom that was surrounded by high water.  Public works officials asked residents not to use public water for three hours.
Thunderstorm Wind,Estimated wind gusts of 60 mph caused power outages across north and central portions of the county.
Heavy Rain,Two to five inches of rain fell across central and eastern portions of Scotts Bluff County.
Flash Flood,One to two feet of water covered Highway 26/92 from Mitchell to Scottsbluff.
Winter Weather,Between 1 and 4 inches of snow was reported.
Flash Flood,Highway 160 and Southeast 90th was closed due to flooding.
Flash Flood,The intersection of Highway 97 and Highway VV was closed due to flooding.
Flash Flood,A portion of Highway 126 near 90th Lane was closed due to flash flooding. There were a couple people that drove into high water and had to be rescued from their car.
Hail,
Hail,
Hail,
Hail,
Hail,
Hail,Quarter size hail was reported at Federal.
Hail,Golf ball size hail was reported on Four Mile Road four miles north of Cheyenne.
Hail,Half dollar size hail was reported seven miles northeast of Glendo.
Excessive Heat,Temperatures reaching daytime highs in the mid to upper 90s after a period of cool weather were accompanied by humid conditions
Excessive Heat,Temperatures reaching daytime highs in the mid to upper 90s after a period of cool weather were accompanied by humid conditions
Hail,
Waterspout,The National Weather Service Baltimore/Washington Weather Forecast Office has confirmed a waterspout and tornado struck the Potomac River
Coastal Flood,A low pressure system moving through the eastern Great Lakes Saturday and Sunday
Winter Storm,Snow began during the late afternoon hours on Friday
Winter Storm,Snow began during the late afternoon hours on Friday
Winter Storm,Snow began during the late afternoon hours on Friday
Winter Storm,Snow began during the late afternoon hours on Friday
Winter Storm,Snow began during the late afternoon hours on Friday
Winter Storm,Snow began during the late afternoon hours on Friday
Winter Weather,Reports of slide-offs and accidents
Winter Weather,Reports of slide-offs and accidents
Winter Storm,Significant winter storm conditions developed in the mountains of Ventura county. Above 7000 feet
Thunderstorm Wind,A severe thunderstorm moved across the community of Fillmore
Marine Thunderstorm Wind,The East Santa Barbara Channel buoy reported a thunderstorm wind gust of 34 knots.
Winter Storm,Winter storm conditions developed across the mountains of Los Angeles county. Above 6000 feet
Winter Storm,Winter storm conditions developed across the mountains of Ventura county. Above 6000 feet
Flash Flood,Heavy rainfall over the Los Angeles county mountains generated significant mud and debris flows. Highway 39 was closed at East Fork Road due to a significant mud and debris flow.
Winter Storm,One quarter to one half of an inch of freezing rain accrual was reported across the county. In addition
Winter Storm,Snowfall/sleet amounts ranged from 1 to 2 inches across the southeastern portions of the county to 6 inches across the northwest.
Winter Weather,There was a report via social media of 7.3 inches of lake enhanced snow in 24 hours at Ironwood.
Winter Weather,Lake enhanced snow totals over an 18-hour period included six inches near Harvey and five inches just south of Marquette in the higher terrain of Sands Township.
Winter Weather,The observer in Stonington measured four inches of snow in 12 hours.
Winter Weather,The observer eight miles north of Mass City measured 11.3 inches of lake effect snow over two days.
Lake-Effect Snow,The observer seven miles south of Pine Stump Junction measured 12.3 inches of lake effect snow over a two-day period.  North winds gusting over 25 mph produced considerable blowing and drifting of snow along Lake Superior.
Winter Weather,Two-day storm total lake effect snow accumulation included 14 inches at Lac La Belle and 11 inches at Phoenix.
Winter Weather,The observer near Menominee measured 3.5 inches of snow in 15 hours.
Winter Weather,The observer three miles northeast of Calumet measured four inches of lake effect snow over approximately 12 hours.
Winter Weather,Snowfall amounts of up to an inch were observed across the county. Some light freezing rain was also observed.
Flood,The White River at Newport remained above flood stage from November
Winter Weather,Snowfall amounts of up to an inch were observed across the county. Some light freezing rain was also observed.
Marine Thunderstorm Wind,KMDJ AWOS recorded a wind gust of 61 mph.
Hail,
Hail,Golf ball size hail reported 3 miles east of Amite. Picture relayed through broadcast media. Event time was estimated based on radar.
Thunderstorm Wind,A tree was blown down onto a power line near Arlington resulting in a power outage.
Thunderstorm Wind,Trees were blown down around Highway 37 near Fort Gaines.
Thunderstorm Wind,A tree was blown down onto County Road 185 near Bartlett Road.
Thunderstorm Wind,Trees were blown down on Otter Pond Road near Highway 2.
Thunderstorm Wind,Trees were blown down in Topsill State Park.
Hail,
Hail,
Hail,
Hail,
Hail,
Excessive Heat,Temperatures reaching daytime highs of 95 to 100 after a period of cool weather were accompanied by humid conditions
Winter Storm,The Whiskey Park SNOTEL site (elevation 8950 ft) estimated 21 inches of snow.
Winter Storm,The Webber Springs SNOTEL site (elevation 9250 ft) estimated 15 inches of snow.
Winter Storm,The Little Snake River SNOTEL site (elevation 8915 ft) estimated 19.5 inches of snow.
Marine Thunderstorm Wind,TOL reported gusts of 36 knots.
Marine Thunderstorm Wind,GBY reported gusts of 36 knots.
Marine Thunderstorm Wind,CRS and CRSFL reported gusts between 41 and 54 knots.
Winter Weather,Between 2 and 5 inches of snow were reported over the 12 hour period.
Winter Weather,Between 2 and 5 inches of snow were reported over the 12 hour period.
Winter Storm,Between 5 and 7 inches of snow was reported.
Winter Weather,Between 1 and 3 inches of snow were reported over the 12 hour period.
Winter Weather,Between 1 and 3 inches of snow were reported over the 12 hour period.
Winter Weather,Between 1 and 3 inches of snow were reported over the 12 hour period.
Heavy Rain,Just over two inches of heavy rain from thunderstorms fell in 24 hours.
Heavy Rain,Just over two inches of rain fell in 24 hours.
Heavy Rain,Heavy rain fell from thunderstorms from 2 pm on 7/20 through 10 am on 7/31.
Heavy Rain,Heavy rain fell from thunderstorms.
Hail,Quarter size hail was reported southwest of Wheatland.
Hail,Quarter size hail was reported at Fort Laramie.
Heavy Rain,Just over two inches of rain fell in 24 hours.
Excessive Heat,Temperatures reaching daytime highs in the mid to upper 90s after a period of cool weather were accompanied by humid conditions
Heavy Rain,Heavy rain fell from thunderstorms.
Heavy Rain,Heavy rain fell from thunderstorms.
Winter Weather,Between 2 and 4 inches of snow was reported around the county.
Winter Weather,Between 2 and 4 inches of snow was reported around the county.
Winter Weather,Between 2 and 4 inches of snow was reported around the county.
Thunderstorm Wind,Estimated wind gusts of 60 mph were reported 17 miles west-northwest of Hemingford.
Thunderstorm Wind,Estimated wind gusts of 70 mph were reported 10 miles north of Alliance.
Thunderstorm Wind,Estimated wind gusts of 80 mph were reported 12 miles northwest of Chadron.
Hail,Quarter size hail was reported 13 miles west of Jay Em.
Hail,Nickel to quarter size hail was reported at Potter.
Flash Flood,Flash flooding was reported on Esterbrook and Cold Springs Road.  Two to three feet of water was reported at the Deer Creek RV park.  Natural Bridge Park was closed due to rising flood waters.  Flooding was reported along the Deer Creek
Heavy Rain,Over three inches of heavy rainfall fell due to thunderstorms.
Heavy Rain,Over three inches of heavy rain fell with thunderstorms.
Heavy Rain,Just over two inches of rain fell with thunderstorms.
Hail,
Thunderstorm Wind,Trees were blown down.
Thunderstorm Wind,A couple of trees were blown down along a small stretch of Highway 27 near General Burnside State Park.
Lightning,Lightning struck 3 cars and set one on fire in downtown St. Augustine. Time of damage was based on the National Lightning Detection Network Data. Cost of damage was estimated.
Thunderstorm Wind,A tree was blown down along Lake Susan Road. The time of damage was based on radar.
Thunderstorm Wind,Power lines were blown down in St. Augustine. Time of damage was based on radar.
Winter Weather,Reports of slide-offs and accidents
Winter Weather,Reports of slide-offs and accidents
Winter Weather,Reports of slide-offs and accidents
High Wind,The RAWS sensor at the Botanical Gardens in Santa Barbara reported a wind gust of 58 MPH.
High Wind,Strong winds impacted the coast of Los Angeles county. The ASOS at Los Angeles International Airport reported sustained winds of 41 MPH.
Flash Flood,Heavy rainfall near the Cabin Fire burn scar resulted in flash flooding and mud and debris flows. CHP reported that a section of State Route 39 was washed out by water and debris.
High Wind,The RAWS sensor at Poppy Park reported a wind gust of 58 MPH.
Winter Weather,Slowly decreasing winds that gusted over 40 mph early in the evening combined with existing snow cover to cause areas of blowing snow
Winter Weather,Snowfall of 1 to 4 inches combined with southeast winds gusting around 30 mph at times to produce areas of blowing snow
Winter Weather,Snowfall of 1 to 4 inches combined with southeast winds gusting around 30 mph at times to produce areas of blowing snow
Winter Weather,Snowfall of 1 to 3 inches combined with southeast winds gusting around 30 mph at times to produce areas of blowing snow
Winter Weather,Snowfall of 1 to 3 inches combined with southeast winds gusting around 30 mph at times to produce areas of blowing snow
Winter Weather,Snowfall of 1 to 3 inches combined with southeast winds gusting around 30 mph at times to produce areas of blowing snow
Winter Weather,Snowfall of 1 to 4 inches combined with southeast winds gusting around 30 mph at times to produce areas of blowing snow
Flood,The Poteau River near Poteau rose above its flood stage of 24 feet at 1:00 pm CST on December 27th. The river crested at 31.44 feet at 6:15 am CST on the 28th
Flood,The Deep Fork River near Beggs rose above its flood stage of 18 feet at 10:15 am CST on December 27th. The river crested at 27.46 feet at 5:00 am CST on the 29th
Extreme Cold/Wind Chill,
Extreme Cold/Wind Chill,
Excessive Heat,Temperatures reaching daytime highs of 95 to 100 after a period of cool weather were accompanied by humid conditions
Winter Storm,
Excessive Heat,Temperatures reaching daytime highs in the mid to upper 90s after a period of cool weather were accompanied by humid conditions
Lake-Effect Snow,
Lake-Effect Snow,
Lake-Effect Snow,
Marine Thunderstorm Wind,Multiple trees were reported down around Woodbridge near Occoquan Bay.
Marine Thunderstorm Wind,KNYG reported gusts of 36 knots.
Flood,The stream gauge on Western Branch at Upper Marlboro reached a flood stage of 11 feet. The gauge peaked at 11.53 feet at 14:30 EST. The Water Street bridge in Upper Marlboro was completely covered by water.
Flood,The stream gauge on Whitemarsh Run at White Marsh reached a flood stage of 10 feet. The gauge peaked at 13.93 feet at 21:15 EST. Town Center Court began to flood.
Flash Flood,Salem Church Road was flooded and closed near Jackson Road.
Flash Flood,The stream gauge at Cameron Run exceeded the flood stage at Huntington at 19:01 EST. This caused flooding of Fenwick Drive with over a foot of flowing water at the end of the road. The stream fell below flood stage around 20:30 EST.
Dense Fog,Reduced visibilities of one quarter mile or less were reported at 8W2.
Dense Fog,FDK reported reduced visibilities of one quarter mile or less.
Dense Fog,W99 reported reduced visibilities of one quarter mile or less.
Dense Fog,CHO reported reduced visibilities of one quarter mile or less.
Dense Fog,HWY reported reduced visibilities of one quarter mile or less.
Dense Fog,IAD reported reduced visibilities of one quarter mile or less.
Dense Fog,JYO reported reduced visibilities of one quarter mile or less.
Dense Fog,Reduced visibilities of one quarter mile or less were reported at HWY.
Dense Fog,NHK reported reduced visibilities of one quarter mile or less.
Lake-Effect Snow,
High Wind,
Heavy Rain,Two and a third inches of rainfall from thunderstorms fell in 12 hours.
Excessive Heat,Temperatures reaching daytime highs in the mid to upper 90s after a period of cool weather were accompanied by humid conditions
Excessive Heat,Temperatures reaching daytime highs in the mid to upper 90s after a period of cool weather were accompanied by humid conditions
Excessive Heat,Temperatures reaching daytime highs in the mid to upper 90s after a period of cool weather were accompanied by humid conditions
Heavy Rain,Heavy rain fell from thunderstorms.
Heavy Rain,Heavy rain fell from thunderstorms on the morning hours of 7/31.
Heavy Rain,Total rainfall from thunderstorms was six and three quarter inches with over four inches falling in a couple of hours.
Winter Weather,Between 1 and 3 inches of snow were reported over the 12 hour period.
Winter Weather,Between 1 and 3 inches of snow were reported over the 12 hour period.
Winter Weather,Between 1 and 3 inches of snow were reported over the 12 hour period.
Winter Weather,Between 1 and 4 inches of snow was reported.
Winter Weather,Between 1 and 4 inches of snow was reported.
Winter Weather,Between 1 and 4 inches of snow was reported.
Heavy Rain,Three inches of rain fell with thunderstorms.
Heavy Rain,Just over two inches of heavy rain fell from thunderstorms.
Heavy Rain,Just under three inches of heavy rain fell from thunderstorms.
Hail,Large hail was reported in the Hazel Green area.
Flash Flood,At least six inches of water was observed flowing across KY Hwy 191 and Main Street in and just outside of the city of Campton.
Ice Storm,Trained spotters reported between 0.2 and 0.4 inches of ice around the county.
Thunderstorm Wind,Several trees taken down due to thunderstorm wind gusts.
Thunderstorm Wind,A wheat crop was damaged due to thunderstorm wind gusts.
Thunderstorm Wind,A large tree was taken down by thunderstorm wind gusts and knocked off several wires as well onto old Topton Rd.
Thunderstorm Wind,A large tree feel down due to thunderstorm wind gusts onto a car on 22nd street damaging a car.
Thunderstorm Wind,Several homes had their roofs blown off on Murphy Fork Road.
Dust Storm,A line of strong thunderstorms moving eastward and across western Maricopa County generated gusty outflow winds in excess of 40 mph. The winds picked up significant amounts of dust an dirt and created dust storm conditions to the southwest of the greater Phoenix area. A trained weather spotter 11 miles north of Gila Bend reported zero visibility in dense blowing dust at 1900MST. A Dust Storm Warning was issued at 1917MST and remained in effect through 2100MST for southwest Maricopa County.
Cold/Wind Chill,
Thunderstorm Wind,Couple trees downed.  Numerous large branches downed.  Outbuilding damaged.  Radar estimated time.
Flash Flood,Heavy rainfall over the Solimar burn scar resulted in a significant mud and debris flow. On Highway 101
Marine Thunderstorm Wind,At Port San Luis
